ID: 2 | Depth: 2.5 | Camera Coords: 1.04 | Timestamp: 24.045 sec
ID: 1 | Depth: 4.04 | Camera Coords: 0.99 | Timestamp: 24.389 sec
ID: 1 | Depth: 3.75 | Camera Coords: 0.76 | Timestamp: 24.619 sec
ID: 1 | Depth: 3.47 | Camera Coords: 0.65 | Timestamp: 24.736 sec
ID: 1 | Depth: 3.22 | Camera Coords: 0.63 | Timestamp: 24.966 sec
ID: 1 | Depth: 2.95 | Camera Coords: 0.51 | Timestamp: 25.083 sec
ID: 1 | Depth: 2.89 | Camera Coords: 0.44 | Timestamp: 25.199 sec
ID: 1 | Depth: 2.63 | Camera Coords: 1.29 | Timestamp: 25.316 sec
ID: 1 | Depth: 2.75 | Camera Coords: 1.32 | Timestamp: 25.433 sec
ID: 1 | Depth: 2.32 | Camera Coords: 0.54 | Timestamp: 25.891 sec
ID: 1 | Depth: 1.62 | Camera Coords: 0.41 | Timestamp: 26.008 sec
ID: 2 | Depth: 2.78 | Camera Coords: 1.40 | Timestamp: 26.008 sec
ID: 1 | Depth: 2.81 | Camera Coords: 0.89 | Timestamp: 26.467 sec
ID: 1 | Depth: 2.83 | Camera Coords: 0.13 | Timestamp: 27.27 sec
ID: 1 | Depth: 2.93 | Camera Coords: 0.15 | Timestamp: 27.386 sec
ID: 1 | Depth: 2.79 | Camera Coords: 0.16 | Timestamp: 27.503 sec
ID: 1 | Depth: 2.78 | Camera Coords: 0.20 | Timestamp: 27.619 sec
ID: 1 | Depth: 2.67 | Camera Coords: 0.22 | Timestamp: 28.079 sec
